id_estudiante,nombre,carrera,edad,genero,semestre,id_nota,materia,nota,asistencia
2,Carlos Gómez,Educación,35,Masculino,10,1347,Python,9.91,98
2,Carlos Gómez,Educación,35,Masculino,10,1534,Base de Datos,8.3,88
3,Pedro Pérez,Sistemas,20,Masculino,4,3482,Estadística,6.26,95
3,Pedro Pérez,Sistemas,20,Masculino,4,3827,Python,8.1,60
3,Pedro Pérez,Sistemas,20,Masculino,4,4743,Programación,9.84,74
4,Andrés Ruiz,Sistemas,35,Masculino,9,4753,Administración,5.93,75
5,Pedro López,Derecho,26,Masculino,3,36,Auditoría,6.62,61
6,Pedro Díaz,Contabilidad,22,Masculino,6,861,Administración,9.59,72
6,Pedro Díaz,Contabilidad,22,Masculino,6,3445,Contabilidad,7.38,76
7,Luis Gómez,Derecho,21,Femenino,6,3208,Base de Datos,6.0,71
9,Luis Vega,Contabilidad,29,Masculino,2,4413,Python,8.34,92
12,Camila López,Educación,26,Masculino,10,4189,Estadística,7.03,72
13,Carlos Vega,Educación,25,Masculino,8,1470,Estadística,5.12,100
13,Carlos Vega,Educación,25,Masculino,8,2335,Estadística,5.35,86
17,Pedro Ramírez,Administración,26,Masculino,4,2109,Auditoría,7.38,60
18,Andrés Vega,Contabilidad,31,Femenino,6,1037,Administración,6.78,100
18,Andrés Vega,Contabilidad,31,Femenino,6,2060,Estadística,7.74,64
18,Andrés Vega,Contabilidad,31,Femenino,6,4868,Python,5.32,93
22,Ana Gómez,Educación,35,Femenino,6,796,Python,9.29,60
23,Luis Castillo,Derecho,23,Femenino,1,4290,Contabilidad,9.43,84
24,José Vega,Administración,34,Masculino,5,298,Contabilidad,9.29,69
24,José Vega,Administración,34,Masculino,5,4919,Auditoría,5.71,83
26,Andrés Vega,Sistemas,28,Femenino,1,1889,Investigación,6.0,79
26,Andrés Vega,Sistemas,28,Femenino,1,2356,Administración,5.08,83
26,Andrés Vega,Sistemas,28,Femenino,1,2801,Estadística,5.93,99
27,Luis Díaz,Contabilidad,25,Masculino,4,3051,Investigación,5.34,95
28,Sofía Gómez,Sistemas,33,Masculino,9,4135,Matemáticas,5.33,77
29,Carlos Torres,Educación,33,Masculino,5,577,Python,9.89,89
30,Andrés Ruiz,Derecho,24,Masculino,5,85,Administración,8.86,100
32,María López,Sistemas,28,Masculino,10,3719,Investigación,8.96,74
36,Carlos Ruiz,Psicología,33,Masculino,8,1786,Estadística,9.62,92
37,Pedro López,Sistemas,21,Femenino,6,702,Matemáticas,6.03,64
39,Pedro Díaz,Sistemas,25,Masculino,4,2755,Inglés,6.42,85
40,Andrés Ramírez,Administración,31,Masculino,5,1124,Administración,6.23,74
41,Daniela López,Sistemas,32,Masculino,1,3212,Inglés,5.8,66
41,Daniela López,Sistemas,32,Masculino,1,4372,Programación,9.93,72
41,Daniela López,Sistemas,32,Masculino,1,4613,Auditoría,7.08,90
42,Andrés Pérez,Sistemas,25,Masculino,7,2833,Investigación,6.76,60
42,Andrés Pérez,Sistemas,25,Masculino,7,3260,Investigación,6.04,86
42,Andrés Pérez,Sistemas,25,Masculino,7,4926,Python,5.44,93
43,Daniela Ramírez,Administración,30,Masculino,3,533,Programación,9.89,70
44,Pedro Pérez,Derecho,26,Femenino,5,2418,Programación,7.24,80
44,Pedro Pérez,Derecho,26,Femenino,5,4182,Programación,9.38,96
47,Ana Pérez,Psicología,33,Masculino,1,1076,Administración,7.33,69
47,Ana Pérez,Psicología,33,Masculino,1,3896,Investigación,8.88,71
48,Andrés Gómez,Administración,20,Masculino,4,1970,Investigación,5.58,70
48,Andrés Gómez,Administración,20,Masculino,4,2483,Administración,9.42,72
50,Luis Morales,Educación,34,Femenino,5,2300,Estadística,9.35,64
54,José Torres,Contabilidad,20,Masculino,6,7,Base de Datos,8.49,81
54,José Torres,Contabilidad,20,Masculino,6,1349,Contabilidad,9.92,73
54,José Torres,Contabilidad,20,Masculino,6,2013,Matemáticas,9.17,90
57,Carlos Castillo,Sistemas,21,Masculino,5,3302,Python,8.41,86
59,Andrés Ramírez,Contabilidad,19,Masculino,7,3808,Administración,8.51,97
59,Andrés Ramírez,Contabilidad,19,Masculino,7,4563,Contabilidad,8.12,63
60,José Pérez,Sistemas,28,Masculino,5,2347,Investigación,8.01,77
60,José Pérez,Sistemas,28,Masculino,5,2462,Investigación,8.51,82
61,Carlos Ramírez,Psicología,31,Masculino,2,946,Programación,10.0,83
61,Carlos Ramírez,Psicología,31,Masculino,2,4102,Base de Datos,9.77,86
64,Camila Pérez,Contabilidad,24,Masculino,2,344,Inglés,8.74,71
65,Camila Vega,Derecho,22,Masculino,3,79,Programación,6.5,66
66,Carlos Morales,Sistemas,23,Femenino,7,805,Administración,6.0,96
66,Carlos Morales,Sistemas,23,Femenino,7,2646,Base de Datos,9.27,78
67,María Castillo,Administración,21,Femenino,1,758,Administración,9.09,87
67,María Castillo,Administración,21,Femenino,1,1539,Auditoría,9.93,85
68,Daniela López,Administración,32,Femenino,5,1289,Matemáticas,5.45,60
69,María López,Sistemas,24,Femenino,6,1388,Estadística,6.94,77
69,María López,Sistemas,24,Femenino,6,4338,Python,9.56,73
70,José Gómez,Contabilidad,29,Femenino,9,942,Matemáticas,6.26,79
70,José Gómez,Contabilidad,29,Femenino,9,2619,Administración,8.76,85
70,José Gómez,Contabilidad,29,Femenino,9,4073,Base de Datos,7.7,91
74,María Castillo,Sistemas,31,Masculino,9,1305,Python,7.91,90
75,Andrés López,Contabilidad,31,Masculino,6,2398,Administración,8.63,96
77,José Morales,Contabilidad,30,Femenino,9,74,Inglés,8.11,96
77,José Morales,Contabilidad,30,Femenino,9,991,Contabilidad,7.1,66
79,Sofía Castillo,Derecho,35,Masculino,5,810,Administración,5.01,84
80,José López,Derecho,28,Femenino,8,2807,Auditoría,6.76,90
81,Daniela López,Psicología,33,Masculino,2,3121,Administración,7.08,69
83,José López,Administración,22,Masculino,1,2933,Matemáticas,7.07,94
86,María Torres,Educación,18,Masculino,7,2541,Administración,6.1,77
87,María Torres,Educación,34,Femenino,1,4978,Base de Datos,9.3,63
88,Andrés López,Sistemas,32,Masculino,8,3150,Matemáticas,7.21,93
88,Andrés López,Sistemas,32,Masculino,8,3704,Auditoría,5.1,84
92,José Ramírez,Sistemas,27,Masculino,5,1109,Programación,9.37,69
92,José Ramírez,Sistemas,27,Masculino,5,3913,Administración,5.3,60
93,Camila Díaz,Psicología,20,Masculino,3,787,Base de Datos,7.48,82
94,María Morales,Educación,22,Masculino,2,552,Contabilidad,8.27,75
95,Pedro Morales,Contabilidad,35,Femenino,7,30,Estadística,8.41,94
97,Pedro Ramírez,Sistemas,29,Femenino,7,1231,Matemáticas,6.9,66
98,Pedro Vega,Educación,35,Masculino,8,1585,Contabilidad,9.64,88
98,Pedro Vega,Educación,35,Masculino,8,2213,Inglés,8.27,69
99,María Castillo,Derecho,33,Masculino,7,3735,Estadística,6.59,83
100,Camila Morales,Educación,23,Femenino,3,3334,Programación,9.49,72
100,Camila Morales,Educación,23,Femenino,3,4988,Matemáticas,8.45,97
101,Sofía Vega,Sistemas,30,Masculino,2,1446,Inglés,7.49,91
102,Pedro Torres,Derecho,23,Masculino,5,659,Contabilidad,7.07,65
102,Pedro Torres,Derecho,23,Masculino,5,1016,Programación,8.84,96
104,Pedro Castillo,Derecho,26,Masculino,8,3577,Python,6.63,79
105,Ana Vega,Sistemas,29,Masculino,2,999,Estadística,9.53,96
105,Ana Vega,Sistemas,29,Masculino,2,1060,Programación,5.53,84
105,Ana Vega,Sistemas,29,Masculino,2,2805,Inglés,7.14,61
106,Ana Pérez,Administración,24,Masculino,10,2317,Programación,8.65,83
106,Ana Pérez,Administración,24,Masculino,10,3504,Estadística,8.57,91
107,Carlos López,Administración,33,Masculino,10,1069,Contabilidad,6.02,88
107,Carlos López,Administración,33,Masculino,10,3153,Auditoría,6.37,77
107,Carlos López,Administración,33,Masculino,10,4997,Python,6.99,87
110,Luis Ruiz,Sistemas,27,Femenino,7,4626,Base de Datos,7.28,79
112,Sofía Gómez,Psicología,19,Femenino,9,2491,Matemáticas,5.26,81
112,Sofía Gómez,Psicología,19,Femenino,9,2511,Programación,8.85,68
112,Sofía Gómez,Psicología,19,Femenino,9,2815,Administración,6.51,81
112,Sofía Gómez,Psicología,19,Femenino,9,3078,Python,9.23,93
113,Pedro Díaz,Sistemas,34,Femenino,1,777,Contabilidad,6.08,63
115,Carlos Morales,Administración,34,Femenino,10,277,Contabilidad,7.68,89
115,Carlos Morales,Administración,34,Femenino,10,4452,Base de Datos,8.2,91
116,Andrés Ramírez,Derecho,31,Femenino,6,186,Programación,5.63,62
116,Andrés Ramírez,Derecho,31,Femenino,6,1902,Programación,7.18,89
117,María Gómez,Contabilidad,32,Masculino,8,2670,Base de Datos,9.48,69
117,María Gómez,Contabilidad,32,Masculino,8,4128,Investigación,5.4,75
118,Sofía Ruiz,Educación,30,Femenino,1,1631,Base de Datos,8.16,79
121,María Gómez,Administración,31,Femenino,9,58,Estadística,9.63,75
122,María Ramírez,Educación,33,Femenino,1,4468,Administración,7.7,88
123,Luis Castillo,Administración,30,Masculino,5,4406,Programación,7.41,87
123,Luis Castillo,Administración,30,Masculino,5,4809,Estadística,7.37,93
126,José López,Sistemas,24,Femenino,2,244,Base de Datos,7.05,69
128,Sofía Vega,Psicología,27,Masculino,4,2831,Inglés,5.2,78
128,Sofía Vega,Psicología,27,Masculino,4,3611,Python,9.61,73
129,José López,Contabilidad,23,Femenino,1,581,Matemáticas,6.03,66
131,José Torres,Educación,33,Masculino,1,1975,Matemáticas,9.3,73
131,José Torres,Educación,33,Masculino,1,3529,Estadística,5.95,79
131,José Torres,Educación,33,Masculino,1,3697,Auditoría,9.46,86
133,Carlos Pérez,Contabilidad,33,Masculino,2,611,Contabilidad,7.77,97
133,Carlos Pérez,Contabilidad,33,Masculino,2,2678,Contabilidad,9.48,92
134,Pedro Ramírez,Sistemas,19,Masculino,3,421,Administración,8.94,82
134,Pedro Ramírez,Sistemas,19,Masculino,3,749,Estadística,9.65,70
134,Pedro Ramírez,Sistemas,19,Masculino,3,1348,Programación,5.68,79
136,Pedro Ruiz,Psicología,25,Femenino,8,2786,Inglés,5.94,61
137,Daniela Castillo,Psicología,31,Femenino,10,3473,Matemáticas,8.67,82
138,Sofía Pérez,Psicología,21,Masculino,4,4180,Inglés,6.09,68
141,Daniela Castillo,Sistemas,25,Femenino,5,2587,Administración,7.79,68
143,María Morales,Sistemas,35,Masculino,3,3970,Base de Datos,5.46,99
143,María Morales,Sistemas,35,Masculino,3,4671,Auditoría,7.18,82
144,José Torres,Sistemas,19,Masculino,5,1755,Contabilidad,5.81,63
144,José Torres,Sistemas,19,Masculino,5,3644,Auditoría,8.6,80
144,José Torres,Sistemas,19,Masculino,5,4399,Contabilidad,9.14,82
148,José Pérez,Sistemas,25,Masculino,5,4377,Auditoría,9.11,92
149,Sofía Pérez,Administración,33,Femenino,5,2928,Programación,7.41,84
151,Camila Morales,Contabilidad,28,Masculino,3,1395,Administración,8.42,82
153,Andrés Pérez,Derecho,20,Femenino,5,2073,Estadística,8.29,94
156,Daniela Ramírez,Sistemas,24,Femenino,9,1987,Investigación,7.88,95
156,Daniela Ramírez,Sistemas,24,Femenino,9,4680,Python,5.29,77
161,Andrés Castillo,Derecho,33,Femenino,4,138,Auditoría,6.9,60
161,Andrés Castillo,Derecho,33,Femenino,4,4685,Contabilidad,7.93,94
161,Andrés Castillo,Derecho,33,Femenino,4,4884,Python,7.18,84
162,Daniela Vega,Administración,30,Masculino,10,988,Python,8.45,86
163,Andrés Torres,Sistemas,26,Femenino,6,2311,Investigación,7.14,65
163,Andrés Torres,Sistemas,26,Femenino,6,3649,Inglés,9.69,84
163,Andrés Torres,Sistemas,26,Femenino,6,3691,Inglés,9.73,96
164,Andrés Castillo,Sistemas,27,Femenino,10,3689,Auditoría,8.44,83
165,Sofía Ramírez,Administración,32,Femenino,6,3174,Base de Datos,8.94,73
165,Sofía Ramírez,Administración,32,Femenino,6,4261,Matemáticas,7.03,84
166,Camila Vega,Psicología,30,Femenino,6,3084,Python,8.71,94
167,María López,Psicología,30,Masculino,7,152,Auditoría,5.76,68
168,Ana Díaz,Educación,33,Femenino,7,1834,Inglés,7.94,80
169,Carlos Ramírez,Sistemas,22,Femenino,2,3902,Programación,9.49,83
170,Daniela Gómez,Psicología,32,Masculino,3,4007,Programación,7.52,63
172,Sofía Morales,Educación,20,Femenino,9,2180,Base de Datos,6.89,67
172,Sofía Morales,Educación,20,Femenino,9,3656,Investigación,9.03,69
173,Pedro Díaz,Educación,33,Masculino,10,1876,Auditoría,5.17,63
174,Luis López,Educación,27,Masculino,2,2490,Base de Datos,5.78,92
175,Pedro Gómez,Educación,21,Femenino,3,294,Python,8.93,75
175,Pedro Gómez,Educación,21,Femenino,3,4244,Contabilidad,5.96,70
175,Pedro Gómez,Educación,21,Femenino,3,4357,Administración,6.19,85
176,José Pérez,Sistemas,28,Masculino,5,1706,Contabilidad,5.95,61
176,José Pérez,Sistemas,28,Masculino,5,3404,Investigación,7.87,60
177,Camila Díaz,Derecho,22,Masculino,9,2179,Base de Datos,9.21,66
177,Camila Díaz,Derecho,22,Masculino,9,2390,Programación,6.96,87
179,Luis Ruiz,Derecho,25,Femenino,10,568,Investigación,6.27,60
179,Luis Ruiz,Derecho,25,Femenino,10,835,Estadística,5.99,88
180,Carlos López,Derecho,26,Femenino,5,264,Investigación,6.37,96
180,Carlos López,Derecho,26,Femenino,5,3387,Base de Datos,8.86,64
182,Daniela Díaz,Psicología,27,Femenino,5,3554,Programación,7.24,63
184,María Morales,Psicología,29,Femenino,5,1156,Matemáticas,5.22,96
185,Ana Morales,Contabilidad,18,Masculino,10,1499,Auditoría,8.79,100
186,Daniela Castillo,Administración,29,Masculino,4,696,Administración,8.24,70
187,Sofía Castillo,Educación,22,Masculino,1,3293,Auditoría,9.42,84
187,Sofía Castillo,Educación,22,Masculino,1,4431,Investigación,9.68,94
188,José Ramírez,Sistemas,29,Masculino,2,2659,Investigación,6.35,100
188,José Ramírez,Sistemas,29,Masculino,2,3291,Administración,8.05,70
189,José Díaz,Educación,31,Masculino,4,2726,Programación,7.56,69
189,José Díaz,Educación,31,Masculino,4,3711,Base de Datos,9.03,66
189,José Díaz,Educación,31,Masculino,4,3968,Programación,7.92,74
193,Pedro Pérez,Contabilidad,35,Masculino,8,3242,Programación,6.34,78
193,Pedro Pérez,Contabilidad,35,Masculino,8,3871,Python,5.16,67
194,Camila Castillo,Psicología,30,Femenino,2,3374,Administración,7.14,84
195,María Ramírez,Sistemas,35,Femenino,10,2624,Auditoría,8.98,90
195,María Ramírez,Sistemas,35,Femenino,10,3306,Inglés,7.4,63
196,María Gómez,Educación,32,Femenino,7,809,Matemáticas,7.71,100
197,Luis Torres,Sistemas,19,Femenino,8,2565,Matemáticas,7.14,69
197,Luis Torres,Sistemas,19,Femenino,8,3011,Base de Datos,9.95,68
198,Luis Gómez,Administración,35,Masculino,7,3516,Administración,5.49,86
198,Luis Gómez,Administración,35,Masculino,7,4037,Inglés,7.02,99
199,Daniela Díaz,Educación,35,Femenino,10,3801,Python,8.21,74
199,Daniela Díaz,Educación,35,Femenino,10,3986,Auditoría,6.22,64
199,Daniela Díaz,Educación,35,Femenino,10,4277,Python,5.42,70
200,Carlos Morales,Educación,21,Femenino,10,1683,Inglés,7.32,68
200,Carlos Morales,Educación,21,Femenino,10,3843,Contabilidad,9.82,72
201,Pedro Castillo,Sistemas,29,Masculino,8,120,Python,6.22,90
203,Camila Pérez,Derecho,26,Masculino,2,2984,Administración,8.03,83
205,Camila López,Administración,24,Masculino,9,1721,Investigación,9.66,69
206,María Ruiz,Administración,25,Femenino,3,280,Auditoría,9.42,95
208,José Torres,Sistemas,18,Masculino,1,1622,Auditoría,6.19,84
208,José Torres,Sistemas,18,Masculino,1,2135,Matemáticas,9.89,87
208,José Torres,Sistemas,18,Masculino,1,3640,Inglés,5.35,75
208,José Torres,Sistemas,18,Masculino,1,3781,Python,8.26,86
210,José Pérez,Administración,31,Masculino,2,4738,Contabilidad,7.27,79
211,Daniela Ramírez,Contabilidad,34,Masculino,8,894,Matemáticas,5.85,78
