id_estudiante,nombre,carrera,edad,genero,semestre
1,Luis Pérez,Educación,26,Masculino,4
2,Carlos Gómez,Educación,35,Masculino,10
3,Pedro Pérez,Sistemas,20,Masculino,4
4,Andrés Ruiz,Sistemas,35,Masculino,9
5,Pedro López,Derecho,26,Masculino,3
6,Pedro Díaz,Contabilidad,22,Masculino,6
7,Luis Gómez,Derecho,21,Femenino,6
8,Sofía Castillo,Sistemas,32,Masculino,7
9,Luis Vega,Contabilidad,29,Masculino,2
10,Ana López,Contabilidad,20,Masculino,2
11,Pedro Castillo,Derecho,29,Masculino,6
12,Camila López,Educación,26,Masculino,10
13,Carlos Vega,Educación,25,Masculino,8
14,Pedro Castillo,Educación,35,Masculino,6
15,Ana López,Sistemas,28,Femenino,5
16,Luis López,Psicología,28,Masculino,8
17,Pedro Ramírez,Administración,26,Masculino,4
18,Andrés Vega,Contabilidad,31,Femenino,6
19,María Torres,Psicología,33,Masculino,1
20,Luis Torres,Educación,23,Femenino,10
21,Luis Morales,Derecho,32,Femenino,9
22,Ana Gómez,Educación,35,Femenino,6
23,Luis Castillo,Derecho,23,Femenino,1
24,José Vega,Administración,34,Masculino,5
25,Andrés Ruiz,Administración,22,Femenino,3
26,Andrés Vega,Sistemas,28,Femenino,1
27,Luis Díaz,Contabilidad,25,Masculino,4
28,Sofía Gómez,Sistemas,33,Masculino,9
29,Carlos Torres,Educación,33,Masculino,5
30,Andrés Ruiz,Derecho,24,Masculino,5
31,Pedro Díaz,Derecho,34,Femenino,2
32,María López,Sistemas,28,Masculino,10
33,Andrés López,Psicología,25,Masculino,2
34,Ana López,Sistemas,19,Femenino,2
35,Andrés López,Contabilidad,33,Masculino,9
36,Carlos Ruiz,Psicología,33,Masculino,8
37,Pedro López,Sistemas,21,Femenino,6
38,Pedro Morales,Derecho,19,Masculino,1
39,Pedro Díaz,Sistemas,25,Masculino,4
40,Andrés Ramírez,Administración,31,Masculino,5
41,Daniela López,Sistemas,32,Masculino,1
42,Andrés Pérez,Sistemas,25,Masculino,7
43,Daniela Ramírez,Administración,30,Masculino,3
44,Pedro Pérez,Derecho,26,Femenino,5
45,Pedro Vega,Educación,33,Masculino,4
46,José López,Sistemas,35,Masculino,6
47,Ana Pérez,Psicología,33,Masculino,1
48,Andrés Gómez,Administración,20,Masculino,4
49,Pedro Gómez,Psicología,25,Masculino,10
50,Luis Morales,Educación,34,Femenino,5
51,María Díaz,Administración,26,Femenino,3
52,José Ramírez,Contabilidad,20,Masculino,8
53,Sofía Ruiz,Sistemas,20,Masculino,9
54,José Torres,Contabilidad,20,Masculino,6
55,José Torres,Derecho,35,Femenino,10
56,Andrés Pérez,Educación,35,Femenino,2
